month,rents_count
2019-01-01 00:00:00,1305
2019-01-02 00:00:00,2632
2019-01-03 00:00:00,3005
2019-01-04 00:00:00,3397
2019-01-05 00:00:00,786
2019-01-06 00:00:00,1631
2019-01-07 00:00:00,2874
2019-01-08 00:00:00,2981
2019-01-09 00:00:00,3385
2019-01-10 00:00:00,3332
2019-01-11 00:00:00,2640
2019-01-12 00:00:00,1236
2019-01-13 00:00:00,1169
2019-01-14 00:00:00,3008
2019-01-15 00:00:00,3310
2019-01-16 00:00:00,3555
2019-01-17 00:00:00,3144
2019-01-18 00:00:00,3292
2019-01-19 00:00:00,1377
2019-01-21 06:00:00,155
2019-01-22 00:00:00,969
2019-01-23 00:00:00,1814
2019-01-24 00:00:00,1493
2019-01-25 00:00:00,3019
2019-01-26 00:00:00,1731
2019-01-27 00:00:00,1913
2019-01-28 00:00:00,3268
2019-01-29 00:00:00,3244
2019-01-30 00:00:00,2560
2019-01-31 00:00:00,1647
2019-02-01 00:00:00,2213
2019-02-02 00:00:00,1579
2019-02-03 00:00:00,2095
2019-02-04 00:00:00,4786
2019-02-05 00:00:00,5900
2019-02-06 00:00:00,4065
2019-02-07 00:00:00,3740
2019-02-08 00:00:00,3864
2019-02-09 00:00:00,1825
2019-02-10 00:00:00,1977
2019-02-11 00:00:00,3797
2019-02-12 00:00:00,2172
2019-02-13 00:00:00,2636
2019-02-14 00:00:00,3633
2019-02-15 00:00:00,3395
2019-02-16 00:00:00,2350
2019-02-17 00:00:00,2097
2019-02-18 00:00:00,955
2019-02-19 00:00:00,2801
2019-02-20 00:00:00,3164
2019-02-21 00:00:00,2907
2019-02-22 00:00:00,3750
2019-02-23 00:00:00,2413
2019-02-24 00:00:00,1078
2019-02-25 00:00:00,2899
2019-02-26 00:00:00,3053
2019-02-27 00:00:00,2982
2019-02-28 00:00:00,2340
2019-03-01 00:00:00,3201
2019-03-02 00:00:00,834
2019-03-03 00:00:00,1853
2019-03-04 00:00:00,1260
2019-03-05 00:00:00,2726
2019-03-06 00:00:00,2625
2019-03-07 00:00:00,2762
2019-03-08 00:00:00,2867
2019-03-09 00:00:00,2106
2019-03-10 00:00:00,670
2019-03-11 00:00:00,3733
2019-03-12 00:00:00,3868
2019-03-13 00:00:00,3892
2019-03-14 00:00:00,4505
2019-03-15 00:00:00,4583
2019-03-16 00:00:00,2728
2019-03-17 00:00:00,2337
2019-03-18 00:00:00,3774
2019-03-19 00:00:00,4127
2019-03-20 00:00:00,4528
2019-03-21 00:00:00,4448
2019-03-22 00:00:00,2026
2019-03-23 00:00:00,2274
2019-03-24 00:00:00,3619
2019-03-25 00:00:00,4579
2019-03-26 00:00:00,4392
2019-03-27 00:00:00,4431
2019-03-28 00:00:00,4864
2019-03-29 00:00:00,4196
2019-03-30 00:00:00,5924
2019-03-31 00:00:00,2637
2019-04-01 00:00:00,4698
2019-04-02 00:00:00,5501
2019-04-03 00:00:00,4918
2019-04-04 00:00:00,5357
2019-04-05 00:00:00,4868
2019-04-06 00:00:00,6227
2019-04-07 00:00:00,5708
2019-04-08 00:00:00,2778
2019-04-09 00:00:00,4446
2019-04-10 00:00:00,5112
2019-04-11 00:00:00,6169
2019-04-12 00:00:00,5734
2019-04-13 00:00:00,7081
2019-04-14 00:00:00,6480
2019-04-15 00:00:00,4649
2019-04-16 00:00:00,6479
2019-04-17 00:00:00,7267
2019-04-18 00:00:00,5543
2019-04-19 00:00:00,7450
2019-04-20 00:00:00,3650
2019-04-21 00:00:00,5370
2019-04-22 00:00:00,3508
2019-04-23 00:00:00,6243
2019-04-24 00:00:00,7951
2019-04-25 00:00:00,8312
2019-04-26 00:00:00,3374
2019-04-27 00:00:00,4653
2019-04-28 00:00:00,4058
2019-04-29 00:00:00,7379
2019-04-30 00:00:00,5731
2019-05-01 00:00:00,7244
2019-05-02 00:00:00,5454
2019-05-03 00:00:00,6074
2019-05-04 00:00:00,5386
2019-05-05 00:00:00,4649
2019-05-06 00:00:00,7883
2019-05-07 00:00:00,7842
2019-05-08 00:00:00,8909
2019-05-09 00:00:00,8415
2019-05-10 00:00:00,7120
2019-05-11 00:00:00,8162
2019-05-12 00:00:00,1464
2019-05-13 00:00:00,5208
2019-05-14 00:00:00,4803
2019-05-15 00:00:00,7929
2019-05-16 00:00:00,8749
2019-05-17 00:00:00,5847
2019-05-18 00:00:00,9009
2019-05-19 00:00:00,5891
2019-05-20 00:00:00,8468
2019-05-21 00:00:00,9426
2019-05-22 00:00:00,9019
2019-05-23 00:00:00,8247
2019-05-24 00:00:00,7921
2019-05-25 00:00:00,7747
2019-05-26 00:00:00,7822
2019-05-27 00:00:00,8247
2019-05-28 00:00:00,4530
2019-05-29 00:00:00,7600
2019-05-30 00:00:00,8565
2019-05-31 00:00:00,9454
2019-06-01 00:00:00,7404
2019-06-02 00:00:00,6952
2019-06-03 00:00:00,9370
2019-06-04 00:00:00,10060
2019-06-05 00:00:00,10491
2019-06-06 00:00:00,10035
2019-06-07 00:00:00,10932
2019-06-08 00:00:00,9627
2019-06-09 00:00:00,8974
2019-06-10 00:00:00,10110
2019-06-11 00:00:00,8058
2019-06-12 00:00:00,11814
2019-06-13 00:00:00,4503
2019-06-14 00:00:00,10457
2019-06-15 00:00:00,9457
2019-06-16 00:00:00,3653
2019-06-17 00:00:00,10694
2019-06-18 00:00:00,7966
2019-06-19 00:00:00,11009
2019-06-20 00:00:00,7074
2019-06-21 00:00:00,8660
2019-06-22 00:00:00,9754
2019-06-23 00:00:00,9993
2019-06-24 00:00:00,10679
2019-06-25 00:00:00,8396
2019-06-26 00:00:00,11476
2019-06-27 00:00:00,11697
2019-06-28 00:00:00,11170
2019-06-29 00:00:00,7169
2019-06-30 00:00:00,6449
2019-07-01 00:00:00,10879
2019-07-02 00:00:00,11237
2019-07-03 00:00:00,10408
2019-07-04 00:00:00,11113
2019-07-05 00:00:00,8193
2019-07-06 00:00:00,5403
2019-07-07 00:00:00,9258
2019-07-08 00:00:00,11190
2019-07-09 00:00:00,11480
2019-07-10 00:00:00,11191
2019-07-11 00:00:00,11390
2019-07-12 00:00:00,8800
2019-07-13 00:00:00,9939
2019-07-14 00:00:00,9438
2019-07-15 00:00:00,11549
2019-07-16 00:00:00,12206
2019-07-17 00:00:00,9197
2019-07-18 00:00:00,10166
2019-07-19 00:00:00,11221
2019-07-20 00:00:00,6795
2019-07-21 00:00:00,7260
2019-07-22 00:00:00,9545
2019-07-23 00:00:00,7956
2019-07-24 00:00:00,12861
2019-07-25 00:00:00,13209
2019-07-26 00:00:00,12444
