,date_time,max_temp,min_temp,precip
35063,2019-01-01 00:00:00,5.6,5.6,1.0
35040,2019-01-01 01:00:00,3.9,3.9,1.0
35041,2019-01-01 02:00:00,3.3,3.3,1.0
35042,2019-01-01 03:00:00,2.8,2.8,1.0
35044,2019-01-01 04:00:00,3.9,3.3,1.0
35069,2019-01-01 05:00:00,4.4,3.9,1.0
35070,2019-01-01 07:00:00,5.6,5.6,1.0
35071,2019-01-01 08:00:00,6.1,6.1,1.0
35072,2019-01-01 09:00:00,7.8,7.8,1.0
35073,2019-01-01 10:00:00,8.3,8.3,1.0
35074,2019-01-01 11:00:00,10.0,10.0,0.0
35076,2019-01-01 12:00:00,12.2,12.2,0.0
35077,2019-01-01 14:00:00,13.3,13.3,0.0
35078,2019-01-01 15:00:00,14.4,14.4,0.0
35079,2019-01-01 16:00:00,14.4,14.4,0.0
35080,2019-01-01 17:00:00,13.3,13.3,0.0
35081,2019-01-01 18:00:00,12.8,12.8,0.0
35082,2019-01-01 19:00:00,12.2,12.2,0.0
35083,2019-01-01 20:00:00,10.6,10.6,0.0
35084,2019-01-01 21:00:00,8.9,8.9,0.0
35085,2019-01-01 22:00:00,7.2,7.2,0.0
35086,2019-01-01 23:00:00,6.7,6.7,0.0
35087,2019-01-02 00:00:00,5.6,5.6,0.0
35064,2019-01-02 01:00:00,5.0,5.0,0.0
35065,2019-01-02 02:00:00,3.9,3.9,0.0
35066,2019-01-02 03:00:00,2.8,2.8,0.0
35067,2019-01-02 04:00:00,1.7,1.7,0.0
35068,2019-01-02 05:00:00,1.1,1.1,0.0
35093,2019-01-02 06:00:00,0.6,0.6,0.0
35094,2019-01-02 07:00:00,0.0,0.0,0.0
35095,2019-01-02 08:00:00,-0.6,-0.6,0.0
35096,2019-01-02 09:00:00,-1.1,-1.1,0.0
35097,2019-01-02 10:00:00,-1.7,-1.7,0.0
35098,2019-01-02 11:00:00,-1.7,-1.7,0.0
35099,2019-01-02 12:00:00,-2.2,-2.2,0.0
35100,2019-01-02 13:00:00,-1.7,-1.7,0.0
35101,2019-01-02 14:00:00,-1.1,-1.1,0.0
35102,2019-01-02 15:00:00,0.0,0.0,0.0
35103,2019-01-02 16:00:00,0.6,0.6,0.0
35104,2019-01-02 17:00:00,1.7,1.7,0.0
35105,2019-01-02 18:00:00,2.2,2.2,0.0
35106,2019-01-02 19:00:00,1.7,1.7,0.0
35107,2019-01-02 20:00:00,1.1,1.1,0.0
35108,2019-01-02 21:00:00,0.6,0.6,0.0
35109,2019-01-02 22:00:00,0.0,0.0,0.0
35110,2019-01-02 23:00:00,0.0,0.0,0.0
35111,2019-01-03 00:00:00,0.0,0.0,0.0
35088,2019-01-03 01:00:00,0.0,0.0,0.0
35089,2019-01-03 02:00:00,0.0,0.0,0.0
35090,2019-01-03 03:00:00,0.0,0.0,0.0
35091,2019-01-03 04:00:00,0.0,0.0,0.0
35092,2019-01-03 05:00:00,0.0,0.0,0.0
35118,2019-01-03 06:00:00,1.7,1.1,0.0
35119,2019-01-03 08:00:00,1.7,1.7,0.0
35120,2019-01-03 09:00:00,1.7,1.7,1.0
35121,2019-01-03 10:00:00,2.2,2.2,0.0
35122,2019-01-03 11:00:00,2.2,2.2,0.0
35123,2019-01-03 12:00:00,2.8,2.8,0.0
35125,2019-01-03 13:00:00,3.3,3.3,1.0
35126,2019-01-03 15:00:00,3.3,3.3,1.0
35127,2019-01-03 16:00:00,5.6,5.6,0.0
35128,2019-01-03 17:00:00,7.2,7.2,0.0
35129,2019-01-03 18:00:00,7.2,7.2,0.0
35130,2019-01-03 19:00:00,7.2,7.2,0.0
35131,2019-01-03 20:00:00,7.2,7.2,0.0
35132,2019-01-03 21:00:00,6.7,6.7,0.0
35133,2019-01-03 22:00:00,5.6,5.6,0.0
35134,2019-01-03 23:00:00,5.0,5.0,0.0
35135,2019-01-04 00:00:00,4.4,4.4,0.0
35112,2019-01-04 01:00:00,3.9,3.9,0.0
35113,2019-01-04 02:00:00,3.3,3.3,0.0
35114,2019-01-04 03:00:00,3.3,3.3,0.0
35115,2019-01-04 04:00:00,3.9,3.9,0.0
35116,2019-01-04 05:00:00,3.9,3.9,0.0
35141,2019-01-04 06:00:00,3.3,3.3,0.0
35142,2019-01-04 07:00:00,3.3,3.3,0.0
35143,2019-01-04 08:00:00,2.8,2.8,0.0
35144,2019-01-04 09:00:00,2.8,2.8,0.0
35145,2019-01-04 10:00:00,2.2,2.2,0.0
35146,2019-01-04 11:00:00,2.2,2.2,0.0
35147,2019-01-04 12:00:00,1.7,1.7,0.0
35148,2019-01-04 13:00:00,2.2,2.2,0.0
35149,2019-01-04 14:00:00,3.3,3.3,0.0
35150,2019-01-04 15:00:00,5.0,5.0,0.0
35151,2019-01-04 16:00:00,6.1,6.1,0.0
35152,2019-01-04 17:00:00,7.2,7.2,0.0
35153,2019-01-04 18:00:00,8.3,8.3,0.0
35154,2019-01-04 19:00:00,8.3,8.3,0.0
35155,2019-01-04 20:00:00,8.3,8.3,0.0
35156,2019-01-04 21:00:00,7.8,7.8,0.0
35157,2019-01-04 22:00:00,6.7,6.7,0.0
35158,2019-01-04 23:00:00,6.1,6.1,0.0
35159,2019-01-05 00:00:00,6.1,6.1,0.0
35136,2019-01-05 01:00:00,5.6,5.6,0.0
35137,2019-01-05 02:00:00,5.6,5.6,0.0
35138,2019-01-05 03:00:00,5.6,5.6,0.0
35139,2019-01-05 04:00:00,4.4,4.4,0.0
35140,2019-01-05 05:00:00,4.4,4.4,0.0
35165,2019-01-05 06:00:00,4.4,4.4,0.0
35166,2019-01-05 07:00:00,4.4,4.4,0.0
35167,2019-01-05 08:00:00,4.4,4.4,0.0
35168,2019-01-05 09:00:00,4.4,4.4,0.0
35169,2019-01-05 10:00:00,3.9,3.9,0.0
35170,2019-01-05 11:00:00,4.4,4.4,0.0
35171,2019-01-05 12:00:00,4.4,4.4,1.0
35173,2019-01-05 13:00:00,5.6,5.0,1.0
35175,2019-01-05 15:00:00,6.1,6.1,1.0
35176,2019-01-05 16:00:00,6.1,5.6,1.0
35177,2019-01-05 17:00:00,5.6,5.6,0.0
35179,2019-01-05 19:00:00,5.0,5.0,1.0
35181,2019-01-05 21:00:00,4.4,4.4,1.0
35182,2019-01-05 23:00:00,4.4,4.4,1.0
35183,2019-01-06 00:00:00,4.4,4.4,1.0
35160,2019-01-06 01:00:00,3.9,3.9,1.0
35161,2019-01-06 02:00:00,3.9,3.9,0.0
35162,2019-01-06 03:00:00,3.9,3.9,0.0
35163,2019-01-06 04:00:00,3.3,3.3,0.0
35164,2019-01-06 05:00:00,3.3,3.3,0.0
35189,2019-01-06 06:00:00,3.3,3.3,0.0
35190,2019-01-06 07:00:00,2.8,2.8,0.0
35191,2019-01-06 08:00:00,2.2,2.2,0.0
35192,2019-01-06 09:00:00,2.2,2.2,0.0
35193,2019-01-06 10:00:00,2.8,2.8,0.0
35194,2019-01-06 11:00:00,3.3,3.3,0.0
35195,2019-01-06 12:00:00,3.3,3.3,0.0
35196,2019-01-06 13:00:00,3.3,3.3,0.0
35197,2019-01-06 14:00:00,3.9,3.9,0.0
35198,2019-01-06 15:00:00,4.4,4.4,0.0
35199,2019-01-06 16:00:00,5.6,5.6,0.0
35200,2019-01-06 17:00:00,6.7,6.7,0.0
35201,2019-01-06 18:00:00,7.2,7.2,0.0
35202,2019-01-06 19:00:00,8.3,8.3,0.0
35203,2019-01-06 20:00:00,6.1,6.1,0.0
35204,2019-01-06 21:00:00,5.6,5.6,0.0
35205,2019-01-06 22:00:00,3.9,3.9,0.0
35206,2019-01-06 23:00:00,2.2,2.2,0.0
35207,2019-01-07 00:00:00,1.1,1.1,0.0
35184,2019-01-07 01:00:00,0.0,0.0,0.0
35185,2019-01-07 02:00:00,-1.1,-1.1,0.0
35186,2019-01-07 03:00:00,-1.7,-1.7,0.0
35187,2019-01-07 04:00:00,-2.8,-2.8,0.0
35188,2019-01-07 05:00:00,-3.9,-3.9,0.0
35213,2019-01-07 06:00:00,-4.4,-4.4,0.0
35214,2019-01-07 07:00:00,-4.4,-4.4,0.0
35215,2019-01-07 08:00:00,-5.0,-5.0,0.0
35216,2019-01-07 09:00:00,-6.1,-6.1,0.0
35217,2019-01-07 10:00:00,-6.1,-6.1,0.0
35218,2019-01-07 11:00:00,-6.7,-6.7,0.0
35219,2019-01-07 12:00:00,-7.2,-7.2,0.0
35220,2019-01-07 13:00:00,-7.2,-7.2,0.0
35221,2019-01-07 14:00:00,-6.1,-6.1,0.0
35222,2019-01-07 15:00:00,-5.0,-5.0,0.0
35223,2019-01-07 16:00:00,-3.9,-3.9,0.0
35224,2019-01-07 17:00:00,-2.2,-2.2,0.0
35225,2019-01-07 18:00:00,-1.1,-1.1,0.0
35226,2019-01-07 19:00:00,-1.1,-1.1,0.0
35227,2019-01-07 20:00:00,-0.6,-0.6,0.0
35228,2019-01-07 21:00:00,-1.1,-1.1,0.0
35229,2019-01-07 22:00:00,-1.7,-1.7,0.0
35230,2019-01-07 23:00:00,-1.7,-1.7,0.0
35231,2019-01-08 00:00:00,-2.2,-2.2,0.0
35208,2019-01-08 01:00:00,-2.8,-2.8,0.0
35209,2019-01-08 02:00:00,-2.2,-2.2,0.0
35210,2019-01-08 03:00:00,-2.2,-2.2,0.0
35211,2019-01-08 04:00:00,-1.1,-1.1,0.0
35212,2019-01-08 05:00:00,-0.6,-0.6,0.0
35237,2019-01-08 06:00:00,-0.6,-0.6,0.0
35238,2019-01-08 07:00:00,-1.1,-1.1,0.0
35239,2019-01-08 08:00:00,-1.1,-1.1,0.0
35240,2019-01-08 09:00:00,-0.6,-0.6,0.0
35241,2019-01-08 10:00:00,0.0,0.0,1.0
35243,2019-01-08 12:00:00,0.6,0.6,1.0
35245,2019-01-08 14:00:00,1.1,1.1,0.0
35246,2019-01-08 15:00:00,2.2,2.2,0.0
35248,2019-01-08 16:00:00,3.3,3.3,0.0
35249,2019-01-08 17:00:00,5.6,3.9,0.0
35251,2019-01-08 19:00:00,5.0,5.0,0.0
35253,2019-01-08 21:00:00,5.0,5.0,0.0
35254,2019-01-08 23:00:00,5.6,5.6,0.0
35255,2019-01-09 00:00:00,5.6,5.6,0.0
35232,2019-01-09 01:00:00,5.0,5.0,0.0
35233,2019-01-09 02:00:00,4.4,4.4,0.0
35235,2019-01-09 03:00:00,2.2,1.7,0.0
35236,2019-01-09 05:00:00,2.8,2.8,0.0
35261,2019-01-09 06:00:00,1.7,1.7,0.0
35262,2019-01-09 07:00:00,1.7,1.7,0.0
35263,2019-01-09 08:00:00,2.2,2.2,0.0
35265,2019-01-09 09:00:00,2.2,2.2,1.0
35266,2019-01-09 10:00:00,2.8,2.2,1.0
35267,2019-01-09 12:00:00,2.8,2.8,1.0
35269,2019-01-09 14:00:00,6.1,6.1,0.0
35270,2019-01-09 15:00:00,6.7,6.7,0.0
35272,2019-01-09 16:00:00,7.2,7.2,0.0
35273,2019-01-09 18:00:00,7.2,7.2,0.0
35275,2019-01-09 19:00:00,6.7,6.7,1.0
35276,2019-01-09 20:00:00,6.7,6.7,0.0
35277,2019-01-09 22:00:00,6.1,6.1,0.0
